id,state,first_name,middle_name,last_name,suffix
1,SD,James,,Abdnor,
2,SD,James,,Abourezk,
3,MI,Spencer,,Abraham,
4,WA,Brock,,Adams,
5,VT,George,,Aiken,
6,HI,Daniel,K.,Akaka,
7,TN,Lamar,,Alexander,
8,CO,Wayne,,Allard,
9,VA,George,,Allen,
10,AL,James,B.,Allen,
11,AL,Maryon,,Allen,
12,MN,Wendell,R.,Anderson,
13,ND,Mark,,Andrews,
14,CO,William,L.,Armstrong,
15,MO,John,,Ashcroft,
16,NH,Kelly,,Ayotte,
17,TN,Howard,H.,Baker, Jr.
18,WI,Tammy,,Baldwin,
19,MN,Dean,M.,Barkley,
20,WY,John,,Barrasso,
21,OK,Dewey,F.,Bartlett,
22,MT,Max,,Baucus,
23,IN,Birch,,Bayh,
24,IN,Evan,,Bayh,
25,MD,J.,Glenn,Beall, Jr.
26,AK,Mark,,Begich,
27,OK,Henry,L.,Bellmon,
28,CO,Michael,F.,Bennet,
29,UT,Robert,F.,Bennett,
30,UT,Wallace,F.,Bennett,
31,TX,Lloyd,M.,Bentsen,
32,NV,Alan,,Bible,
33,DE,Joseph,R.,Biden, Jr.
34,NM,Jeff,,Bingaman,
35,CT,Richard,,Blumenthal,
36,MO,Roy,,Blunt,
37,MO,Christopher,S.,Bond,
38,NJ,Cory,A.,Booker,
39,AR,John,,Boozman,
40,OK,David,L.,Boren,
41,MN,Rudy,,Boschwitz,
42,CA,Barbara,,Boxer,
43,NJ,Bill,,Bradley,
44,NJ,Nicholas,,Brady,
45,LA,John,B.,Breaux,
46,TN,Bill,,Brock,
47,MA,Edward,W.,Brooke,
48,CO,Hank,,Brown,
49,MA,Scott,P.,Brown,
50,OH,Sherrod,,Brown,
51,KS,Sam,,Brownback,
52,NC,James,T.,Broyhill,
53,NV,Richard,H.,Bryan,
54,NY,James,L.,Buckley,
55,AR,Dale,,Bumpers,
56,KY,Jim,,Bunning,
57,ND,Joycelyn,,Burdick,
58,ND,Quentin,N.,Burdick,
59,MT,Conrad,R.,Burns,
60,NC,Richard,,Burr,
61,IL,Roland,,Burris,
62,VA,Harry,F.,Byrd,  Jr.
63,WV,Robert,C.,Byrd,
